########################################
DevTestAcc: 91.64915966386555, DevTestDomainAcc: 0
DevTestAcc: 91.33403361344537, DevTestDomainAcc: 0
DevTestAcc: 92.48949579831933, DevTestDomainAcc: 0
DevTestAcc: 92.22689075630252, DevTestDomainAcc: 0
DevTestAcc: 92.69957983193278, DevTestDomainAcc: 0
DevTestAcc: 91.85924369747899, DevTestDomainAcc: 0
DevTestAcc: 92.64705882352942, DevTestDomainAcc: 0
DevTestAcc: 92.12184873949579, DevTestDomainAcc: 0
DevTestAcc: 92.12184873949579, DevTestDomainAcc: 0
DevTestAcc: 92.64705882352942, DevTestDomainAcc: 0

Epoch: 4, DevTestAcc: 92.69957983193278, DevTestDomainAcc: 0
