########################################
Dev Epoch: 0, BLEU: 0.19343946097533785, std: 0.003154060159478405
Test Epoch: 0, BLEU: 0.1993658444735606, std: 0.002036864299736331
Dev Epoch: 1, BLEU: 0.2485973099302776, std: 0.003958545290529167
Test Epoch: 1, BLEU: 0.24976816613445701, std: 0.0025452280446095895
Dev Epoch: 2, BLEU: 0.27225161547147714, std: 0.004214062891310462
Test Epoch: 2, BLEU: 0.26643767031849674, std: 0.0026788569144708396
Dev Epoch: 3, BLEU: 0.2866048495551683, std: 0.004389269317633363
Test Epoch: 3, BLEU: 0.2782515155738009, std: 0.0027516780981156766
Dev Epoch: 4, BLEU: 0.29702819995398705, std: 0.004522521709535319
Test Epoch: 4, BLEU: 0.284149449178182, std: 0.002813908402389435

BEST Test Epoch: 4, BLEU: 0.284149449178182, std: 0.002813908402389435
